wall_time,sim_time,teleop_active,ros_fresh,position_error_mm,orientation_error_deg,target_linear_speed_mps,target_angular_speed_radps,raw_max_qdot_radps,cmd_max_qdot_radps,qdot_saturated,jacobian_condition,max_q_command_error_rad,deadline_misses
5660.136380567,66.36999999995285,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,126
5660.14621368,66.3799999999529,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,127
5660.156368525,66.38999999995295,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,131
5660.166364153,66.399999999953,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,132
5660.176432291,66.40999999995304,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,132
5660.186401011,66.41999999995309,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,136
5660.196344015,66.42999999995314,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,136
5660.207028975,66.43999999995319,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,136
5660.217050475,66.44999999995323,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,137
5660.226399339,66.45999999995328,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,141
5660.236370942,66.46999999995333,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,141
5660.246323003,66.47999999995338,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,141
5660.256511951,66.48999999995343,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,4
5660.266394271,66.49999999995347,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,4
5660.276304759,66.50999999995352,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,4
5660.287592087,66.51999999995357,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,6
5660.296463741,66.52999999995362,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,7
5660.306257617,66.53999999995366,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,8
5660.316356527,66.54999999995371,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,8
5660.326990088,66.55999999995376,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,12
5660.336501806,66.56999999995381,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,13
5660.346376596,66.57999999995386,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,13
5660.356154724,66.5899999999539,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,16
5660.366216071,66.59999999995395,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,16
5660.377470147,66.609999999954,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,17
5660.386239433,66.61999999995405,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,18
5660.396282624,66.6299999999541,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,21
5660.406204933,66.63999999995414,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,21
5660.416303678,66.64999999995419,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,21
5660.426147837,66.65999999995424,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,25
5660.436143106,66.66999999995429,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,25
5660.446214188,66.67999999995433,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,25
5660.45740115,66.68999999995438,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,27
